player_name,ave_score,sr,balls_faced,hundreds/innings,fifties/innings,fours_rate,six_rate,vulnerability
Gagandeep Singh,12.0,88.88,27,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407
Ramnaresh Sarwan,19.3,103.81,1153,0.0,0.07042253521126761,0.07285342584562012,0.024284475281873375,0.053772766695576756
Mohammad Hafeez,24.11,121.85,4195,0.008658008658008658,0.12554112554112554,0.13134684147794995,0.03623361144219309,0.05053635280095352
Salman Butt,37.31,114.55,1759,0.0,0.22727272727272727,0.14667424673109722,0.01648664013644116,0.030699260943718023
Shoaib Akhtar,5.35,98.68,76,0.0,0.0,0.05263157894736842,0.06578947368421052,0.18421052631578946
Tatenda Taibu,25.34,106.35,834,0.0,0.1111111111111111,0.07553956834532374,0.015587529976019185,0.04196642685851319
Umar Gul,8.63,105.35,467,0.0,0.0,0.06638115631691649,0.059957173447537475,0.12205567451820129
Saurasish Lahiri,8.85,94.65,131,0.0,0.0,0.09923664122137404,0.0,0.10687022900763359
Loots Bosman,25.42,132.46,1574,0.011764705882352941,0.12941176470588237,0.1156289707750953,0.06543837357052097,0.052096569250317665
Musavir Khote,29.4,137.38,107,0.0,0.14285714285714285,0.11214953271028037,0.056074766355140186,0.04672897196261682
Andre Nel,10.33,137.16,113,0.0,0.0,0.09734513274336283,0.07079646017699115,0.13274336283185842
Rajesh Pawar,2.33,50.0,14,0.0,0.0,0.0,0.0,0.21428571428571427
Shaun Pollock,21.07,141.89,401,0.0,0.029411764705882353,0.11221945137157108,0.06982543640897755,0.06733167082294264
Ashwell Prince,26.24,116.53,2117,0.0,0.13725490196078433,0.1086443079829948,0.02031176192725555,0.044402456306093525
Dominic Thornely,21.02,117.87,660,0.0,0.06,0.06515151515151515,0.04242424242424243,0.05606060606060606
Vikrant Yeligati,6.0,120.0,5,0.0,0.0,0.2,0.0,0.2
Kamran Akmal,27.15,132.41,3856,0.01932367149758454,0.16908212560386474,0.14937759336099585,0.04486514522821577,0.0487551867219917
Darren Lehmann,29.3,117.95,323,0.0,0.0,0.13312693498452013,0.006191950464396285,0.04024767801857585
Sohail Tanvir,16.61,120.74,1803,0.0,0.010582010582010581,0.08874098724348309,0.056017748197448695,0.07265668330560178
Younis Khan,30.55,117.3,1589,0.0,0.1282051282051282,0.09062303335431089,0.02328508495909377,0.03838892385147892
Rinku Singh,7.25,93.54,31,0.0,0.0,0.12903225806451613,0.0,0.16129032258064516
Mujeeb Ur Rahman,10.0,142.85,7,0.0,0.0,0.2857142857142857,0.0,1.4285714285714286
Evin Lewis,29.38,138.4,276,0.0,0.15384615384615385,0.11594202898550725,0.08695652173913043,0.04710144927536232
Mayank Markhande,10.5,87.5,24,0.0,0.0,0.08333333333333333,0.0,0.4166666666666667
Washington Sundar,18.5,148.0,50,0.0,0.0,0.1,0.08,0.22
Chris Woakes,10.5,95.45,66,0.0,0.0,0.015151515151515152,0.015151515151515152,0.19696969696969696
Aniket Choudhary,25.0,125.0,20,0.0,0.0,0.05,0.05,0.15
D’Arcy Short,16.42,116.16,99,0.0,0.0,0.1111111111111111,0.050505050505050504,0.0707070707070707
Ben Stokes,23.27,134.03,382,0.04,0.04,0.09162303664921466,0.0549738219895288,0.060209424083769635
Rahul Tripathi,26.82,142.16,434,0.0,0.11538461538461539,0.14055299539170507,0.0576036866359447,0.052995391705069124
Krishnappa Gowtham,14.0,196.87,64,0.0,0.0,0.140625,0.140625,0.171875
Rashid Khan,10.0,175.0,40,0.0,0.0,0.075,0.175,0.7
Billy Stanlake,0.0,250.0,2,0.0,0.0,0.5,0.0,2.5
