key,0s,1s,2s,3s,4s,6s,outs,balls
"0, AN Ahmed",1,0,0,0,0,0,1,1
"2, 2",15,6,3,0,1,0,1,25
"0, 4",6,3,1,0,0,0,0,10
"0, 4",6,6,3,0,3,0,0,18
"2, 4",19,7,1,0,1,0,1,28
"2, 4",7,11,3,0,4,1,0,26
"2, 4",1,0,0,0,0,0,1,1
"2, 4",18,14,2,0,5,1,1,40
"3, 2",1,1,0,0,0,0,1,2
"2, 2",4,4,1,0,1,0,0,10
"2, 2",3,1,1,0,2,0,1,7
"3, 4",1,1,0,0,0,0,1,2
"J Theron, 4",1,1,0,0,1,0,0,3
"2, 4",3,1,0,0,1,0,1,5
"2, 4",3,3,3,0,0,1,1,10
"2, 4",3,7,1,0,3,0,0,14
"0, 2",4,2,0,0,0,0,0,6
"0, 2",0,1,0,0,0,0,0,1
"3, 3",4,2,0,0,0,0,0,6
"2, 2",14,20,1,0,8,0,1,43
"2, 2",2,5,1,0,0,1,1,9
"3, 4",1,1,0,0,0,0,0,2
"1, 4",1,3,3,0,1,0,0,8
"2, 4",3,2,1,0,0,0,0,6
"3, 4",4,1,0,0,0,0,0,5
"0, 2",0,1,2,0,0,1,0,4
"2, 2",10,12,1,0,7,3,1,33
"2, 3",4,1,0,0,1,0,1,6
"0, 4",2,3,0,1,2,0,0,8
"0, 2",4,4,1,0,1,1,0,11
"2, 3",2,2,2,0,3,0,0,9
"2, 4",2,1,2,0,0,0,0,5
"0, 4",1,0,0,0,0,0,1,1
"2, 4",15,8,1,0,13,0,2,37
"0, 3",3,1,0,0,1,0,0,5
"1, 4",0,4,1,0,1,0,0,6
"2, 3",4,7,1,1,1,1,0,15
"0, 4",1,3,1,1,1,1,0,8
"2, 4",1,0,0,0,1,0,1,2
"2, 3",2,2,0,0,2,1,0,7
"0, 3",2,2,0,0,2,1,1,7
"0, 4",1,2,0,0,0,0,0,3
"1, 2",0,1,0,0,0,0,0,1
"1, 3",3,0,0,0,2,0,0,5
"1, 2",2,3,1,0,0,0,0,6
"2, 4",3,3,0,0,1,0,1,7
"2, 3",3,9,2,0,0,0,0,14
"0, 2",0,2,0,0,0,0,0,2
"0, 2",4,3,0,0,0,0,1,7
"2, 2",2,2,0,0,2,0,0,6
"0, 4",0,3,0,0,0,0,0,3
"0, 2",1,2,0,0,0,0,0,3
"2, 2",1,0,0,0,0,0,1,1
"2, 2",3,3,1,0,1,1,0,9
"2, 2",0,2,1,0,0,0,0,3
"1, 3",14,9,0,0,1,0,0,24
"2, 3",3,3,0,0,1,2,0,9
"3, 2",4,4,0,0,0,0,0,8
"2, 4",1,4,1,0,0,0,0,6
"1, 4",0,1,0,0,0,0,0,1
"1, 3",0,2,1,0,0,0,0,3
"2, 4",4,8,2,0,4,1,1,19
"2, 2",1,1,1,0,1,0,0,4
"2, 4",28,5,4,0,11,0,0,48
"1, 2",23,19,2,0,1,4,2,49
"0, 4",1,3,2,0,0,0,0,6
"2, 2",27,11,4,0,6,3,2,51
"2, 4",1,4,0,0,0,3,0,8
"2, 4",19,16,8,0,6,1,2,50
"2, 3",10,7,0,0,1,1,1,19
"2, 4",11,12,1,0,10,1,2,35
"2, 2",4,1,0,0,4,0,1,9
"0, 2",2,0,0,1,1,0,0,4
"2, 3",3,1,0,0,0,1,1,5
"0, 4",5,9,0,0,2,0,1,16
"1, 4",13,5,1,0,0,2,1,21
"0, 3",0,1,0,0,0,0,0,1
"2, 4",3,6,1,0,1,3,0,14
"2, 2",8,12,0,0,2,0,1,22
"3, 2",0,1,0,0,0,0,0,1
"0, 4",1,4,2,0,0,0,0,7
"0, 2",12,9,2,1,5,2,0,31
"3, 3",3,0,1,1,0,0,0,5
"2, 4",2,2,0,0,0,1,0,5
"2, 2",2,0,0,0,0,0,1,2
"1, 2",28,12,3,0,5,0,1,48
"2, 3",1,2,0,0,0,0,0,3
"0, 4",0,2,1,0,0,0,0,3
"2, 2",35,20,0,0,6,0,1,61
"2, 4",1,2,1,0,1,1,0,6
"2, 3",5,5,2,0,3,0,0,15
"2, 4",5,0,0,0,0,0,1,5
"2, 2",23,22,8,0,7,2,2,62
"2, 0",0,2,0,0,1,0,0,3
"2, 3",2,1,0,0,0,0,1,3
"0, 2",1,1,0,0,0,0,0,2
"1, 2",3,1,0,0,0,0,0,4
"2, 3",3,2,0,0,1,0,1,6
"2, 4",8,15,1,1,3,0,2,28
"2, 3",3,7,2,0,2,0,0,14
"0, 4",1,1,0,0,0,0,0,2
"2, 2",21,14,5,0,7,3,2,50
"2, 4",2,2,0,0,1,0,0,5
"0, 4",0,1,1,0,0,0,0,2
"2, 2",10,3,0,0,2,0,1,15
"0, 4",3,0,0,0,1,0,0,4
"3, 3",5,1,1,0,0,0,0,7
"2, 3",3,4,1,0,2,0,0,10
"2, 3",0,0,1,0,0,0,0,1
"2, 4",7,2,0,0,4,1,0,14
"1, 2",1,0,0,0,0,0,1,1
"2, 3",5,3,1,0,3,0,1,12
"2, 2",9,2,1,0,1,0,1,13
"2, Basil Thampi",4,2,0,0,1,0,1,7
"0, 2",7,3,0,1,1,0,3,12
"2, 3",2,3,0,0,1,0,0,6
"0, 4",6,8,3,0,3,0,2,20
"2, 2",24,22,4,0,7,7,3,64
"2, 4",8,4,1,0,1,0,0,14
"3, 4",1,1,0,0,0,0,0,2
"1, 2",2,0,0,0,2,0,1,4
"2, 4",2,1,0,0,3,2,0,8
"2, 4",3,1,0,0,0,0,0,4
"2, 4",2,1,0,0,1,2,0,6
"K Rabada, 4",1,1,0,0,0,0,0,2
"3, 4",1,1,0,0,0,0,0,2
"3, 4",1,1,0,0,0,0,0,2
"0, 4",1,0,0,0,0,0,1,1
"2, 2",9,10,2,0,1,0,0,22
"2, 3",4,1,0,0,1,1,0,7
"1, 2",10,4,0,0,2,0,0,16
"0, 3",1,1,0,0,1,2,0,5
"2, 2",1,1,1,0,0,0,1,3
