player_id,player_name,matches,bat_inns,not_outs,runs_scored,highest_score,ave_score,balls_faced,sr,hundreds,fifties,fours,sixes,bowl_inns,balls,runs_conceded,wkts,bowl_ave,econ,bowl_sr
604534,Ankush Bains,30,28,2,538,57,20.69,524,102.67,0,3,58,10,0,0,0,0,0,0,0
26907,Rajat Bhatia,140,89,37,1149,0,22.09,973,118.08,1,1,77,41,132,2406,2883,105,27.45,7.18,22.9
446548,Scott Boland,30,10,7,28,0,9.33,27,103.7,0,0,2,0,30,649,908,36,25.22,8.39,18
447261,Deepak Chahar,38,21,8,148,39,11.38,104,142.3,0,0,8,10,38,774,969,40,24.22,7.51,19.3
227712,Ashok Dinda,133,33,14,82,22,4.31,120,68.33,0,0,5,0,130,2695,3441,132,26.06,7.66,20.4
334337,Peter Handscomb,52,44,12,698,0,21.81,615,113.49,1,2,49,17,0,0,0,0,0,0,0
543922,Jaskaran Singh,15,3,3,18,0,0,11,163.63,0,0,2,0,15,312,418,12,34.83,8.03,26
215155,Usman Khawaja,65,64,5,1870,0,31.69,1472,127.03,2,9,226,31,0,0,0,0,0,0,0
46248,Albie Morkel,309,245,90,4069,0,26.25,2948,138.02,0,11,255,236,280,4924,6246,245,25.49,7.61,20
447439,Ishwar Pandey,55,15,4,69,0,6.27,56,123.21,0,0,7,2,53,1118,1319,51,25.86,7.07,21.9
32685,Irfan Pathan,172,135,51,1916,0,22.8,1537,124.65,0,2,140,67,167,3475,4378,169,25.9,7.55,20.5
233514,Thisara Perera,242,204,57,2917,84,19.84,2006,145.41,0,6,206,157,222,3941,5591,216,25.88,8.51,18.2
277916,Ajinkya Rahane,176,169,19,4537,0,30.24,3828,118.52,1,34,465,85,1,6,5,1,5,5,6
236779,Ishant Sharma,113,29,21,55,9,6.87,74,74.32,0,0,4,1,113,2437,3189,88,36.23,7.85,27.6
35280,RP Singh,132,50,25,108,18,4.32,148,72.97,0,0,4,2,131,2903,3638,146,24.91,7.51,19.8
35390,Saurabh Tiwary,136,118,30,2582,69,29.34,2123,121.62,0,11,199,98,0,0,0,0,0,0,0
379504,Adam Zampa,97,36,13,119,15,5.17,140,85,0,0,10,1,95,1959,2381,109,21.84,7.29,17.9
44828,Faf du Plessis,180,165,17,4063,119,27.45,3259,124.67,1,21,359,115,52,790,917,50,18.34,6.96,15.8
272450,Mitchell Marsh,67,60,16,1365,0,31.02,1114,122.53,0,6,78,64,53,803,1117,42,26.59,8.34,19.1
19296,Kevin Pietersen,200,193,25,5695,0,33.89,4160,136.89,3,35,495,220,30,396,534,17,31.41,8.09,23.2
267192,Steven Smith,162,143,32,3309,101,29.81,2637,125.48,1,12,286,77,51,818,1052,54,19.48,7.71,15.1
253802,Virat Kohli,247,234,44,7744,113,40.75,5808,133.33,4,56,718,243,44,454,661,8,82.62,8.73,56.7
360911,Varun Aaron,65,23,13,105,0,10.5,140,75,0,0,10,2,63,1368,1917,64,29.95,8.4,21.3
228430,Abu Nechim,61,30,11,185,20,9.73,148,125,0,0,11,10,60,1195,1525,59,25.84,7.65,20.2
290632,Sreenath Aravind,84,27,18,105,0,11.66,105,100,0,0,11,0,83,1714,2243,103,21.77,7.85,16.6
27223,Stuart Binny,131,101,29,1371,49,19.04,1099,124.74,0,0,99,51,100,1231,1569,61,25.72,7.64,20.1
430246,Yuzvendra Chahal,132,24,16,47,10,5.87,73,64.38,0,0,1,0,130,2755,3425,150,22.83,7.45,18.3
44936,AB de Villiers,251,233,45,6649,0,35.36,4495,147.91,3,45,549,299,0,0,0,0,0,0,0
777515,Praveen Dubey,6,6,2,37,0,9.25,37,100,0,0,3,1,6,111,123,10,12.3,6.64,11.1
51880,Chris Gayle,353,345,46,12052,0,40.3,8127,148.29,21,75,919,890,128,1897,2387,79,30.21,7.54,24
530011,Travis Head,69,67,12,1745,0,31.72,1275,136.86,1,8,119,77,30,307,448,17,26.35,8.75,18
277237,Iqbal Abdulla,88,32,18,177,0,12.64,184,96.19,0,0,12,4,86,1749,2035,79,25.75,6.98,22.1
290716,Kedar Jadhav,105,94,24,1664,69,23.77,1221,136.28,0,8,144,59,4,60,88,4,22,8.8,15
288992,Chris Jordan,134,84,36,811,0,16.89,675,120.14,0,0,58,30,129,2615,3661,137,26.72,8.4,19
528730,Akshay Karnewar,18,14,3,164,42,14.9,113,145.13,0,0,17,5,17,293,383,13,29.46,7.84,22.5
642525,Sarfaraz Khan,45,36,13,453,0,19.69,314,144.26,0,1,44,15,0,0,0,0,0,0,0
31738,Vikramjeet Malik,41,18,3,189,48,12.6,167,113.17,0,0,20,5,41,827,1012,44,23,7.34,18.7
398506,Mandeep Singh,136,122,19,2677,0,25.99,2141,125.03,0,11,288,63,18,213,220,14,15.71,6.19,15.2
378496,Parvez Rasool,46,38,5,553,52,16.75,571,96.84,0,1,47,11,46,984,1117,36,31.02,6.81,27.3
390481,Harshal Patel,77,44,14,392,73,13.06,270,145.18,0,1,29,26,75,1556,2050,74,27.7,7.9,21
422108,Lokesh Rahul,86,75,13,2405,0,38.79,1718,139.98,2,17,210,100,0,0,0,0,0,0,0
272262,Kane Richardson,76,25,8,228,45,13.41,194,117.52,0,0,12,10,74,1604,2187,83,26.34,8.18,19.3
432783,Sachin Baby,63,48,5,913,79,21.23,700,130.42,0,3,83,22,9,94,133,3,44.33,8.48,31.3
379145,Tabraiz Shamsi,97,22,12,51,0,5.1,93,54.83,0,0,1,1,93,1982,2418,99,24.42,7.31,20
474519,Vikas Tokas,16,5,4,9,0,9,8,112.5,0,0,1,0,16,283,385,16,24.06,8.16,17.6
8180,Shane Watson,273,265,30,7010,0,29.82,5021,139.61,5,40,604,371,230,4423,5828,215,27.1,7.9,20.5
221140,David Wiese,172,114,45,1444,0,20.92,992,145.56,0,4,103,74,147,2455,3420,137,24.96,8.35,17.9
51433,Samuel Badree,197,59,39,183,0,9.15,225,81.33,0,0,7,5,194,4125,4144,187,22.16,6.02,22
450860,Adam Milne,82,30,21,165,0,18.33,137,120.43,0,0,12,3,79,1736,2224,96,23.16,7.68,18
311592,Mitchell Starc,85,28,13,124,29,8.26,142,87.32,0,0,11,0,84,1860,2215,127,17.44,7.14,14.6
219889,David Warner,252,251,27,7888,0,35.21,5539,142.4,6,60,784,323,1,6,13,0,0,13,0
389605,Ashish Reddy,74,59,15,614,37,13.95,477,128.72,0,0,34,28,52,904,1201,54,22.24,7.97,16.7
642531,Ricky Bhui,28,28,7,598,0,28.47,504,118.65,0,5,44,27,0,0,0,0,0,0,0
35928,Bipul Sharma,88,65,24,871,0,21.24,634,137.38,0,2,57,38,76,1404,1511,65,23.24,6.45,21.6
277912,Trent Boult,88,19,11,36,0,4.5,59,61.01,0,0,0,0,88,1895,2651,98,27.05,8.39,19.3
230371,Ben Cutting,113,89,23,1409,71,21.34,932,151.18,0,1,75,95,107,1975,2945,91,32.36,8.94,21.7
28235,Shikhar Dhawan,217,216,25,6075,0,31.8,4941,122.95,0,46,690,139,6,48,66,4,16.5,8.25,12
5961,Moises Henriques,176,157,37,3219,77,26.82,2557,125.88,0,15,258,89,142,2336,3238,107,30.26,8.31,21.8
497121,Deepak Hooda,88,71,15,1189,108,21.23,849,140.04,1,5,73,56,31,379,496,10,49.6,7.85,37.9
326017,Siddarth Kaul,85,28,19,66,0,7.33,76,86.84,0,0,4,0,85,1839,2226,94,23.68,7.26,19.5
326016,Bhuvneshwar Kumar,141,50,23,239,0,8.85,242,98.76,0,0,20,4,141,3098,3663,156,23.48,7.09,19.8
310958,Abhimanyu Mithun,53,25,8,92,0,5.41,77,119.48,0,0,9,3,53,988,1403,48,29.22,8.52,20.5
24598,Eoin Morgan,260,246,32,5518,90,25.78,4316,127.84,0,28,430,233,0,0,0,0,0,0,0
330902,Mustafizur Rahman,73,22,13,31,8,3.44,67,46.26,0,0,1,2,73,1636,1967,93,21.15,7.21,17.5
32102,Naman Ojha,170,150,20,2706,0,20.81,2301,117.6,0,13,237,127,0,0,0,0,0,0,0
477021,Vijay Shankar,59,45,15,818,69,27.26,648,126.23,0,4,55,29,36,477,710,17,41.76,8.93,28
30288,Karn Sharma,119,82,24,1138,67,19.62,925,123.02,0,2,79,48,109,2027,2483,101,24.58,7.34,20
537126,Barinder Sran,37,14,10,56,19,14,47,119.14,0,0,6,1,37,759,1034,40,25.85,8.17,18.9
34281,Tirumalasetti Suman,75,72,9,1546,100,24.53,1230,125.69,1,5,145,65,31,426,563,17,33.11,7.92,25
333904,Aditya Tare,84,76,13,1689,79,26.8,1280,131.95,0,8,181,52,0,0,0,0,0,0,0
277906,Kane Williamson,163,155,19,4088,0,30.05,3309,123.54,1,27,390,95,53,758,885,30,29.5,7,25.2
36084,Yuvraj Singh,223,208,27,4686,83,25.88,3632,129.01,0,26,368,253,126,1561,1936,80,24.2,7.44,19.5
31820,Ashish Nehra,132,28,15,69,0,5.3,102,67.64,0,0,4,3,132,2845,3653,162,22.54,7.7,17.5
506612,Matt Henry,76,42,15,357,42,13.22,219,163.01,0,0,22,25,73,1458,2136,70,30.51,8.79,20.8
5939,Michael Hussey,161,149,27,4569,0,37.45,3658,124.9,1,35,423,121,1,6,5,0,0,5,0
31001,Mithun Manhas,91,72,18,1170,52,21.66,1119,104.55,0,1,102,21,9,110,148,5,29.6,8.07,22
424219,Ronit More,11,4,2,10,4,5,16,62.5,0,0,1,0,11,209,267,6,44.5,7.66,34.8
272994,Rahul Sharma,74,35,9,131,0,5.03,133,98.49,0,0,10,5,74,1590,1886,80,23.57,7.11,19.8
529436,Srikar Bharat,31,29,2,369,51,13.66,406,90.88,0,1,34,9,0,0,0,0,0,0,0
302208,Chidhambaram Gautam,48,41,11,511,0,17.03,469,108.95,0,1,49,13,0,0,0,0,0,0,0
857781,KK Jiyas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49764,Angelo Mathews,153,130,35,2435,0,25.63,2021,120.48,0,9,171,77,117,2037,2507,79,31.73,7.38,25.7
528985,Domnic Muthuswami,27,8,5,11,4,3.66,21,52.38,0,0,0,0,27,532,669,32,20.9,7.54,16.6
499660,Gurinder Sandhu,35,10,4,37,0,6.16,40,92.5,0,0,3,1,34,717,971,32,30.34,8.12,22.4
35565,Manoj Tiwary,160,141,39,3055,0,29.95,2613,116.91,0,15,255,77,39,540,734,33,22.24,8.15,16.3
323131,Parvinder Awana,61,13,8,22,0,4.4,43,51.16,0,0,2,1,61,1359,1723,77,22.37,7.6,17.6
29048,Yogesh Golwalkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
