batsman,nonstrike,bowler,runs,wickets,home,ave_score,sr,bowl_ave,bowl_sr,econ,innings,wickets
0,2,3,3,0,0,22.68,118.03,19.5,15.0,7.8,0,0
0,2,4,7,0,0,22.68,118.03,30.54,24.0,7.6,0,0
2,0,3,17,0,0,26.46,125.96,19.5,15.0,7.8,0,0
0,2,4,5,0,0,22.68,118.03,24.36,21.8,6.69,0,0
0,2,2,3,0,0,22.68,118.03,21.91,19.6,6.67,0,0
0,2,4,16,0,0,22.68,118.03,24.36,21.8,6.69,0,0
2,0,4,9,1,0,30.28,151.11,30.54,24.0,7.6,0,1
0,2,4,11,0,0,22.68,118.03,24.36,21.8,6.69,0,0
2,0,3,21,0,0,30.28,151.11,19.5,15.0,7.8,0,0
2,0,4,4,1,0,37.73,121.8,24.36,21.8,6.69,0,1
2,0,3,10,1,0,37.73,121.8,31.41,23.2,8.09,0,1
2,0,4,19,0,0,37.73,121.8,30.54,24.0,7.6,0,0
2,0,2,8,0,0,37.73,121.8,21.91,19.6,6.67,0,0
0,2,3.0,12,0,0,21.51,123.77,27.86269230769231,21.53619230769231,7.669653846153847,0,0
2,2,4,4,0,1,30.88,112.45,27.35,21.8,7.49,1,0
2,2,4,1,0,1,28.37,119.25,20.47,15.8,7.73,1,0
2,2,2,7,0,1,30.88,112.45,29.22,21.6,8.08,1,0
2,2,4,10,0,1,28.37,119.25,27.35,21.8,7.49,1,0
2,2,4,8,1,1,30.88,112.45,20.47,15.8,7.73,1,1
2,2,2,4,1,1,33.89,136.89,29.22,21.6,8.08,1,1
2,2,2,3,0,1,33.89,136.89,26.22,23.3,6.72,1,0
2,2,2,10,0,1,27.51,113.87,23.96,17.5,8.17,1,0
2,2,2,10,1,1,27.51,113.87,26.22,23.3,6.72,1,1
2,2,2,5,0,1,28.77,134.56,23.96,17.5,8.17,1,0
2,2,2,10,1,1,28.77,134.56,26.22,23.3,6.72,1,1
2,2,2,4,1,1,40.75,133.33,23.96,17.5,8.17,1,1
2,2,2,5,0,1,31.54,133.12,26.22,23.3,6.72,1,0
2,2,4,7,0,1,31.54,133.12,27.35,21.8,7.49,1,0
2,0,4,8,1,1,40.75,133.33,20.47,15.8,7.73,1,1
0.0,2,4,9,1,1,18.161195652173927,124.90467391304348,27.35,21.8,7.49,1,1
0.0,2,4,7,0,1,18.161195652173927,124.90467391304348,20.47,15.8,7.73,1,0
2,0.0,2,4,0,1,40.75,133.33,29.22,21.6,8.08,1,0
0,0.0,2,7,2,1,11.25,107.14,23.96,17.5,8.17,1,2
0.0,3,2,6,0,1,18.161195652173927,124.90467391304348,29.22,21.6,8.08,1,0
0,2,4,0,1,1,26.8,131.95,26.06,20.4,7.66,0,1
0,2,3,3,0,1,26.8,131.95,26.59,19.1,8.34,0,0
0,2,2,6,0,1,26.8,131.95,25.88,18.2,8.51,0,0
0,2,3,6,0,1,26.8,131.95,26.59,19.1,8.34,0,0
0,2,4,7,1,1,26.8,131.95,26.06,20.4,7.66,0,1
0,2,3,1,1,1,21.23,140.04,26.59,19.1,8.34,0,1
0,2,2,2,0,1,21.23,140.04,25.88,18.2,8.51,0,0
2,2,2,2,1,1,26.82,125.88,24.34,21.3,6.84,0,1
2,2,3,4,1,1,31.8,122.95,26.59,19.1,8.34,0,1
2,2,2,3,0,1,20.81,117.6,24.34,21.3,6.84,0,0
2,2,4,3,0,1,31.8,122.95,27.45,22.9,7.18,0,0
2,2,2,3,0,1,20.81,117.6,24.34,21.3,6.84,0,0
2,2,4,8,0,1,20.81,117.6,27.45,22.9,7.18,0,0
2,2,2,6,0,1,31.8,122.95,24.34,21.3,6.84,0,0
2,2,4,12,0,1,20.81,117.6,27.45,22.9,7.18,0,0
2,2,3,6,0,1,31.8,122.95,23.51,19.0,7.42,0,0
0,2,4,3,1,1,21.24,137.38,26.06,20.4,7.66,0,1
0,2,2,11,0,1,21.24,137.38,25.88,18.2,8.51,0,0
2,3,4,11,0,1,31.8,122.95,26.06,20.4,7.66,0,0
2,3,2,13,1,1,31.8,122.95,25.88,18.2,8.51,0,1
2,2,4,0,1,0,29.81,125.48,23.48,19.8,7.09,1,1
2,2,4,4,0,0,27.45,124.67,22.54,17.5,7.7,1,0
2,2,4,8,0,0,29.81,125.48,23.48,19.8,7.09,1,0
2,2,3.0,9,0,0,29.81,125.48,27.86269230769231,21.53619230769231,7.669653846153847,1,0
2,2,4,6,0,0,29.81,125.48,22.54,17.5,7.7,1,0
2,2,3.0,10,0,0,29.81,125.48,27.86269230769231,21.53619230769231,7.669653846153847,1,0
2,2,4,17,0,0,29.81,125.48,23.24,21.6,6.45,1,0
2,2,4,8,0,0,27.45,124.67,30.26,21.8,8.31,1,0
2,2,4,6,0,0,29.81,125.48,23.48,19.8,7.09,1,0
2,2,4,8,1,0,29.81,125.48,30.26,21.8,8.31,1,1
2,2,4,5,1,0,38.44,136.18,22.54,17.5,7.7,1,1
1,1,4,6,0,1,23.57,126.5,29.88,24.8,7.22,0,0
1,1,4,7,0,1,27.03,140.28,30.54,24.0,7.6,0,0
1,1,4,9,1,1,23.57,126.5,29.88,24.8,7.22,0,1
1,2,4,5,0,1,27.03,140.28,30.54,24.0,7.6,0,0
2,1,2,5,0,1,39.22,128.62,19.83,20.0,5.95,0,0
2,2,4,11,0,1,25.99,125.03,30.54,24.0,7.6,0,0
2,2,2,5,0,1,39.22,128.62,19.83,20.0,5.95,0,0
2,2,4,4,0,1,25.99,125.03,22.19,17.1,7.76,0,0
2,2,4,7,0,1,39.22,128.62,28.78,22.4,7.68,0,0
2,2,4,2,1,1,39.22,128.62,22.19,17.1,7.76,0,1
2,2,4,5,0,1,39.22,128.62,27.45,22.9,7.18,0,0
2,2,4,7,0,1,30.03,133.2,22.19,17.1,7.76,0,0
2,2,4,8,0,1,30.03,133.2,27.45,22.9,7.18,0,0
2,2,4,3,1,1,39.22,128.62,29.88,24.8,7.22,0,1
0,0,4,3,0,1,19.09,127.32,27.45,22.9,7.18,0,0
0,0,4,7,0,1,19.09,127.32,29.88,24.8,7.22,0,0
0,1,4,6,1,1,25.44,110.27,27.45,22.9,7.18,0,1
0,1,2,4,1,1,14.38,121.92,19.83,20.0,5.95,0,1
0,1,4,7,0,1,14.38,121.92,22.19,17.1,7.76,0,0
0,1,2,10,1,1,14.38,121.92,19.83,20.0,5.95,0,1
1,2,2,9,0,0,30.25,137.21,32.16,25.8,7.46,1,0
2,1,4,8,0,0,28.96,120.58,20.61,17.4,7.1,1,0
1,2,2,0,0,0,30.25,137.21,32.16,25.8,7.46,1,0
2,1,3.0,14,0,0,28.96,120.58,27.86269230769231,21.53619230769231,7.669653846153847,1,0
2,1,2,14,0,0,28.96,120.58,32.16,25.8,7.46,1,0
0,2,2,6,1,0,21.7,110.7,24.67,19.6,7.52,1,1
2,0,4,2,0,0,28.96,120.58,20.61,17.4,7.1,1,0
2,0,2,4,0,0,28.96,120.58,24.67,19.6,7.52,1,0
2,0,3.0,11,0,0,28.96,120.58,27.86269230769231,21.53619230769231,7.669653846153847,1,0
2,2,2,3,1,0,30.88,112.45,24.67,19.6,7.52,1,1
2,2,3,4,0,0,30.88,112.45,23.78,18.5,7.71,1,0
2,2,4,3,0,0,30.88,112.45,20.61,17.4,7.1,1,0
2,2,3,8,0,0,28.96,120.58,23.78,18.5,7.71,1,0
2,2,2,6,0,0,30.88,112.45,24.67,19.6,7.52,1,0
2,2,3,10,0,0,28.96,120.58,23.78,18.5,7.71,1,0
2,2,4,10,0,0,30.88,112.45,20.61,17.4,7.1,1,0
2,2,3,10,0,0,30.88,112.45,23.78,18.5,7.71,1,0
2,0,4,6,1,0,31.8,122.95,28.0,20.1,8.35,0,1
2,0,4,4,0,0,31.8,122.95,34.93,27.0,7.76,0,0
2,2,4,1,0,0,31.73,127.09,28.0,20.1,8.35,0,0
2,2,4,11,0,0,31.73,127.09,34.93,27.0,7.76,0,0
3,2,4,9,1,0,13.86,97.43,28.0,20.1,8.35,0,1
3,2,2,3,0,0,13.86,97.43,24.34,21.3,6.84,0,0
3,2,4,9,0,0,13.86,97.43,34.93,27.0,7.76,0,0
2,3,2,4,0,0,31.8,122.95,24.34,21.3,6.84,0,0
3,2,2,4,0,0,13.86,97.43,22.18,17.4,7.64,0,0
2,0.0,2,3,1,0,31.8,122.95,24.34,21.3,6.84,0,1
2,0.0,2,5,0,0,31.8,122.95,22.18,17.4,7.64,0,0
2,0.0,2,10,0,0,31.8,122.95,24.34,21.3,6.84,0,0
0.0,2,4,5,0,0,18.161195652173927,124.90467391304348,34.93,27.0,7.76,0,0
0.0,0,2,6,0,0,18.161195652173927,124.90467391304348,24.53,17.7,8.29,0,0
0,0.0,2,8,0,0,20.89,141.31,31.42,24.2,7.78,0,0
0,0,2,4,1,0,13.95,128.72,24.53,17.7,8.29,0,1
0,0,2,15,0,0,13.95,128.72,22.18,17.4,7.64,0,0
2,0,2,11,1,0,31.8,122.95,24.53,17.7,8.29,0,1
2,0,4,17,0,0,31.8,122.95,28.0,20.1,8.35,0,0
0,2,2,16,0,0,13.95,128.72,24.53,17.7,8.29,0,0
2,2,2,4,0,1,25.43,121.55,28.45,21.5,7.92,1,0
2,2,4,12,0,1,37.45,124.9,36.23,27.6,7.85,1,0
2,2,2,9,0,1,25.43,121.55,21.91,19.6,6.67,1,0
2,2,2,14,0,1,37.45,124.9,28.45,21.5,7.92,1,0
2,2,4,4,0,1,37.45,124.9,24.58,20.0,7.34,1,0
2,2,2,12,0,1,37.45,124.9,21.79,18.2,7.15,1,0
2,2,4,2,0,1,37.45,124.9,24.58,20.0,7.34,1,0
2,2,2,8,1,1,37.45,124.9,21.79,18.2,7.15,1,1
2,2,4,6,0,1,33.59,139.25,36.23,27.6,7.85,1,0
2,2,2,1,1,1,38.44,136.18,21.79,18.2,7.15,1,1
2,2,2,8,0,1,38.44,136.18,21.91,19.6,6.67,1,0
2,2,4,2,0,1,38.44,136.18,24.58,20.0,7.34,1,0
2,2,2,12,0,1,38.44,136.18,28.45,21.5,7.92,1,0
2,2,2,5,1,1,38.44,136.18,21.79,18.2,7.15,1,1
2,2,4,10,0,1,24.72,127.18,36.23,27.6,7.85,1,0
2,2,4,0,0,1,24.72,127.18,24.58,20.0,7.34,1,0
2,2,2,14,0,1,24.72,127.18,21.91,19.6,6.67,1,0
0,2,4,4,1,1,21.68,122.96,36.23,27.6,7.85,1,1
3,2,2,13,1,1,25.44,154.71,21.91,19.6,6.67,1,1
2,3,3,14,0,1,38.44,136.18,22.24,16.7,7.97,1,0
1,2,2,4,1,0,23.57,126.5,21.81,17.3,7.55,0,1
2,1,3,0,1,0,27.01,132.55,20.01,16.3,7.36,0,1
0,2,2,4,1,0,21.51,123.77,21.81,17.3,7.55,0,1
0,0,3,8,1,0,21.43,127.98,20.01,16.3,7.36,0,1
0,0,2,5,0,0,21.43,127.98,24.94,19.3,7.74,0,0
0,0,4,9,0,0,21.43,127.98,31.36,27.9,6.74,0,0
0,0,3,4,0,0,21.51,123.77,36.36,27.7,7.86,0,0
0,0,2,4,0,0,22.68,118.03,24.94,19.3,7.74,0,0
0,0,3,0,1,0,14.38,121.92,36.36,27.7,7.86,0,1
0,0,2,1,0,0,14.38,121.92,24.94,19.3,7.74,0,0
0,0,3,4,0,0,22.68,118.03,36.36,27.7,7.86,0,0
0,0,3,2,0,0,14.38,121.92,29.6,22.0,8.07,0,0
0,0,3.0,5,0,0,14.38,121.92,27.86269230769231,21.53619230769231,7.669653846153847,0,0
0,0,3,4,0,0,22.68,118.03,29.6,22.0,8.07,0,0
0,0,3.0,7,0,0,22.68,118.03,27.86269230769231,21.53619230769231,7.669653846153847,0,0
0,0,3,8,0,0,14.38,121.92,29.6,22.0,8.07,0,0
0,0,2,4,0,0,14.38,121.92,21.81,17.3,7.55,0,0
0,0,3,5,1,0,22.68,118.03,20.01,16.3,7.36,0,1
0,0,2,14,0,0,22.68,118.03,21.81,17.3,7.55,0,0
