player_name,bowl_ave,econ,bowl_sr,balls
Michael Hussey,0.0,5.0,0.0,6
Mithun Manhas,29.6,8.07,22.0,110
Ronit More,44.5,7.66,34.8,209
Rahul Sharma,23.57,7.11,19.8,1590
Srikar Bharat,0.0,0.0,0.0,0
Chidhambaram Gautam,0.0,0.0,0.0,0
KK Jiyas,0.0,0.0,0.0,0
Angelo Mathews,31.73,7.38,25.7,2037
Domnic Muthuswami,20.9,7.54,16.6,532
Gurinder Sandhu,30.34,8.12,22.4,717
Manoj Tiwary,22.24,8.15,16.3,540
Parvinder Awana,22.37,7.6,17.6,1359
Yogesh Golwalkar,0.0,0.0,0.0,0
Beuran Hendricks,21.18,8.52,14.9,969
Karanveer Singh,25.05,8.96,16.7,302
Virender Sehwag,22.54,8.31,16.2,358
Shivam Sharma,23.88,7.91,18.1,163
Azhar Mahmood,23.81,7.63,18.7,4825
Johan Botha,28.41,6.47,26.3,4079
Pat Cummins,25.32,7.84,19.3,1568
Aditya Garhwal,17.0,6.37,16.0,96
Sumit Narwal,30.51,7.68,23.8,643
Veer Pratap Singh,29.78,8.34,21.4,300
Vaibhav Rawal,0.0,0.0,0.0,0
Ryan ten Doeschate,26.1,8.17,19.1,2089
James Neesham,25.98,8.89,17.5,1472
Aiden Blizzard,0.0,10.0,0.0,6
Alex Hales,0.0,14.0,0.0,3
Ben Hilfenhaus,22.2,7.6,17.5,2050
Pragyan Ojha,22.38,7.23,18.5,2897
Josh Hazlewood,24.35,7.77,18.7,695
Abhishek Nayar,34.33,8.19,25.1,679
Dinesh Salunkhe,78.0,9.75,48.0,48
Rahul Tewatia,24.57,6.97,21.1,402
Rusty Theron,23.0,7.2,19.1,2585
Sagar Trivedi,27.0,8.7,18.6,186
Dishant Yagnik,0.0,0.0,0.0,0
Sean Abbott,23.78,8.75,16.3,1125
S Badrinath,22.0,7.33,18.0,18
Shishir  Bhavane,0.0,0.0,0.0,0
Manvinder  Bisla,0.0,0.0,0.0,0
Nic Maddinson,0.0,11.5,0.0,12
Rilee Rossouw,13.0,7.09,11.0,11
Darren Sammy,28.45,7.92,21.5,3381
Sandeep Warrier,26.9,7.32,22.0,727
Jalaj Saxena,20.58,7.04,17.5,719
Yogesh Takawale,0.0,0.0,0.0,0
Vijay Zol,0.0,0.0,0.0,0
Ravi Bopara,25.31,7.5,20.2,4169
Padmanabhan Prasanth,17.15,6.26,16.4,1051
Laxmi Shukla,24.61,7.11,20.7,976
Hanuma Vihari,20.9,7.31,17.1,360
David Hussey,26.35,7.47,21.1,1438
Milind Kumar,79.0,8.26,57.3,172
Wayne Parnell,24.94,7.74,19.3,3751
HS Sharath,27.71,6.46,25.7,180
Rahul Shukla,28.0,8.21,20.4,593
Ross Taylor,35.0,9.03,23.2,186
Lakshmipathy Balaji,22.19,7.76,17.1,2161
Murali Kartik,31.36,6.74,27.9,3069
Cheteshwar Pujara,0.0,0.0,0.0,0
Debabrata Das,0.0,0.0,0.0,0
Jacques Kallis,30.54,7.6,24.0,2747
Sayan Mondal,18.2,6.74,16.2,470
Ben Dunk,30.0,10.0,18.0,36
Sushant Marathe,0.0,0.0,0.0,0
Krishmar Santokie,16.95,7.09,14.3,2394
Apoorv Wankhade,0.0,0.0,0.0,0
Kevon Cooper,20.07,7.22,16.6,3250
Brad Hodge,22.32,7.8,17.1,1116
Tanmay Mishra,19.33,8.28,14.0,42
Muttiah Muralitharan,22.03,6.38,20.6,3705
Ravi Rampaul,22.32,7.67,17.4,2950
Sachin Rana,20.15,6.77,17.8,357
Srikkanth Anirudha,0.0,0.0,0.0,0
Manprit Juneja,0.0,24.0,0.0,6
Prasanth Parameswaran,27.66,7.74,21.4,707
Amit Paunikar,0.0,0.0,0.0,0
Brendan Taylor,19.0,6.08,18.7,150
Venugopal Rao,56.0,8.78,38.2,306
Akila Dananjaya,23.42,7.22,19.4,1090
Imtiaz Ahmed,31.47,7.75,24.3,414
R Karthikeyan,0.0,0.0,0.0,0
Nuwan Kulasekara,22.94,7.3,18.8,2357
Ben Laughlin,21.57,7.92,16.3,2565
Dirk Nannes,22.25,7.42,17.9,4624
Mahela Jayawardene,32.33,7.76,25.0,75
Ajit Agarkar,34.21,8.23,24.9,1172
Gulam Bodi,6.0,6.0,6.0,6
Bharat Chipli,44.0,11.0,24.0,24
Royston Dias,71.0,9.26,46.0,46
Jeevan Mendis,21.29,7.19,17.7,1491
Yogesh Nagar,16.66,7.36,13.5,285
Sujit Nayak,0.0,8.75,0.0,24
Ben Rohrer,0.0,12.0,0.0,6
Aristh Singhvi,20.0,6.66,18.0,18
Roelof van der Merwe,25.58,7.22,21.2,3699
Jesse Ryder,36.36,7.86,27.7,915
Adam Gilchrist,0.0,0.0,1.0,1
Bhargav Bhatt,23.78,7.71,18.5,870
Siddharth Chitnis,28.5,9.5,18.0,72
Aniket Choudhary,22.76,7.54,18.1,851
Manpreet Gony,24.87,7.69,19.4,1766
Harmeet Singh,28.62,7.8,22.0,594
Dimitri Mascarenhas,20.61,7.1,17.4,2647
Michael Neser,26.88,8.78,18.3,918
Luke Pomersbach,0.0,0.0,0.0,0
Nitin Saini,0.0,0.0,0.0,0
Sunny Singh,0.0,0.0,0.0,0
Paul Valthaty,31.09,8.3,22.4,247
Ryan Harris,21.54,7.4,17.4,1413
Brad Haddin,0.0,0.0,0.0,0
Brett Lee,29.88,7.22,24.8,2706
Ryan McLaren,29.22,8.08,21.6,3385
Sachithra Senanayake,20.63,6.33,19.5,2032
James Pattinson,24.61,8.58,17.2,585
Ricky Ponting,23.0,11.5,12.0,12
Amitoze Singh,19.2,6.44,17.8,268
James Franklin,30.9,8.47,21.8,2428
Phillip Hughes,0.0,0.0,0.0,0
Javed Khan,10.37,5.53,11.2,90
Jacob Oram,29.7,7.84,22.7,1839
Munaf Patel,24.25,6.92,21.0,2123
Sachin Tendulkar,61.5,7.93,46.5,93
Udit Birla,0.0,24.0,0.0,6
Raiphi Gomez,38.25,7.8,29.4,588
Harpreet Singh,18.83,5.38,21.0,126
Dheeraj Jadhav,0.0,11.5,0.0,12
Anustup Majumdar,14.0,14.0,6.0,6
Ajantha Mendis,18.83,6.94,16.2,2719
Ali Murtaza,23.78,6.98,20.4,654
Mahesh Rawat,0.0,0.0,0.0,0
Marlon Samuels,27.95,7.17,23.3,1636
Tamim Iqbal,0.0,8.3,0.0,13
Krishnakant  Upadhyay,27.25,7.76,21.0,421
Shrikant Wagh,20.01,7.36,16.3,832
Luke Wright,32.44,8.54,22.7,1799
Michael Clarke,40.88,8.08,30.3,273
Rahul Dravid,0.0,0.0,0.0,0
Kumar Boresa,0.0,0.0,0.0,0
Fidel Edwards,27.57,7.69,21.4,1870
Shreevats Goswami,0.0,0.0,0.0,0
Harmeet Singh,34.0,8.5,24.0,24
Ashok Menaria,28.41,6.51,26.1,445
Kusal Perera,0.0,0.0,0.0,0
Owais Shah,15.6,8.21,11.4,57
Siddharth Trivedi,26.13,7.68,20.4,2103
Ajit  Chandila,20.7,6.31,19.6,472
Ankeet Chavan,33.31,7.97,25.0,476
Sreesanth,32.78,8.25,23.8,1192
KP Appanna,25.23,7.68,19.7,414
Arun Karthik,22.0,11.0,12.0,24
Chris Barnwell,34.2,7.99,25.6,642
Daniel Christian,28.96,8.39,20.6,3850
Tillakaratne Dilshan,29.56,7.25,24.4,1564
Andrew McDonald,23.01,7.7,17.9,1470
Abhinav Mukund,9.18,5.77,9.5,105
Pankaj Singh,34.51,7.55,27.4,959
Sunny Sohal,0.0,0.0,0.0,0
Jamaluddin Syed Mohammad,28.0,7.5,22.3,828
Daniel Vettori,26.13,6.34,24.7,3236
Kumar Sangakkara,0.0,0.0,0.0,0
Anand Rajan,16.68,6.82,14.6,689
Nathan McCullum,24.09,7.17,20.1,3162
Clint McKay,22.38,7.88,17.0,2451
Dwaraka Ravi Teja,40.0,8.42,28.5,114
Akshath Reddy,0.0,0.0,0.0,0
Biplab Samantray,32.27,6.64,29.1,641
Thalaivan Sargunam,0.0,0.0,0.0,0
Sudeep Tyagi,30.0,7.91,22.7,364
Cameron White,27.23,8.77,18.6,484
Doug Bollinger,25.47,7.82,19.5,2716
Joginder Sharma,23.73,7.06,20.1,1230
Suraj Randiv,24.46,7.5,19.5,1212
Yo Mahesh,23.0,7.72,17.8,929
Scott Styris,29.09,7.36,23.7,2964
Kuthethurshri Vasudevadas,10.0,5.0,12.0,24
Ganapathi Vignesh,15.28,5.94,15.4,108
Tekkami Atchuta Rao,22.0,7.45,17.7,124
Akash Bhandari,22.97,6.63,20.7,727
Darren Bravo,0.0,0.0,0.0,0
Kedar Devdhar,0.0,0.0,0.0,0
Daniel Harris,24.61,7.75,19.0,400
Ishank Jaggi,41.5,6.82,36.5,73
Abhishek Jhunjhunwala,57.33,8.52,40.3,121
Syed Quadri,16.16,8.08,12.0,72
Sneha Kishore,0.0,0.0,0.0,0
Tanmay Srivastava,0.0,6.5,0.0,24
TP Sudhindra,20.48,6.75,18.2,637
Arjun Yadav,0.0,0.0,0.0,0
Puneet Bisht,0.0,0.0,0.0,0
Robin Bist,14.8,7.4,12.0,60
Doug Bracewell,22.32,8.71,15.3,845
Sunny Gupta,38.12,6.87,33.2,266
Prashant Naik,0.0,0.0,0.0,0
Zafir Patel,0.0,0.0,0.0,0
Kuldeep Raval,11.42,6.15,11.1,78
Aavishkar Salvi,29.27,8.12,21.6,389
Vikas Mishra,24.0,8.0,18.0,18
Tejashwi Yadav,0.0,8.33,0.0,36
Travis Birt,0.0,0.0,0.0,0
Colin Ingram,32.27,7.89,24.5,907
Love Ablish,13.86,6.56,12.6,456
Amit Yadav,25.15,6.87,21.9,703
Ramesh Powar,40.14,7.49,32.1,450
Nathan Rimmington,23.39,8.1,17.3,1905
Shalabh Srivastava,32.65,8.66,22.6,452
Stuart Broad,21.44,7.19,17.8,1788
Chirag Jani,23.0,6.45,21.3,342
Iresh Saxena,17.64,5.82,18.1,454
Herschelle Gibbs,0.0,0.0,0.0,0
Davy Jacobs,0.0,14.0,0.0,6
Richard Levi,0.0,0.0,0.0,0
Robin Peterson,25.52,7.1,21.5,2631
Sourav Ganguly,26.06,7.91,19.7,573
Callum Ferguson,0.0,0.0,0.0,0
Kamran Khan,25.0,8.65,17.3,208
Harshad Khadiwale,0.0,13.0,0.0,6
Mohnish  Mishra,0.0,0.0,0.0,0
Graeme Smith,37.0,9.25,24.0,96
Alfonso Thomas,21.81,7.55,17.3,4558
James Hopes,33.65,7.94,25.4,1702
Dinesh Chandimal,0.0,0.0,0.0,0
Aakash Chopra,0.0,0.0,0.0,0
